category,product_name,product_url,price,old_price,discount,reviews,rating,price_drop,discount_pct,popularity_score
phones,Dual USB QC Car Charger Socket Power Adapter With 12-24V Voltmeter LED Car Accessories 40mm*22mm For Toyota Quick Charge For Mobile Phone,https://www.banggood.com/Dual-USB-QC-Car-Charger-Socket-Power-Adapter-With-12-24V-Voltmeter-LED-Car-Accessories-40mm+22mm-For-Toyota-Quick-Charge-For-Mobile-Phone-p-1975166.html?cur_warehouse=CN&ID=6283720&rmmds=search,8.51,12.38,31,7,4.86,3.870000000000001,31.26,34.02
phones,Universal Metal Car Phone Holder Gravity Mobile Stand GPS Support Car Air Vent Mount,https://www.banggood.com/Universal-Metal-Car-Phone-Holder-Gravity-Mobile-Stand-GPS-Support-Car-Air-Vent-Mount-p-1985223.html?cur_warehouse=CN&rmmds=search,8.51,10.06,15,0,0.0,1.5500000000000007,15.41,0.0
phones,WEST BIKING Bike Holder Aluminum Alloy 180° Adjustable Shockproof Anti-fall Handlebar Holder Suit for 55-100mm Cell for Motorcycle Bicycle Scooter,https://www.banggood.com/WEST-BIKING-Bike-Holder-Aluminum-Alloy-180-Adjustable-Shockproof-Anti-fall-Handlebar-Holder-Suit-for-55-100mm-Cell-Phones-for-Motorcycle-Bicycle-Scooter-p-2003012.html?cur_warehouse=CN&rmmds=search,10.83,14.7,26,2,5.0,3.869999999999999,26.33,10.0
phones,Baseus Case for iPhone 14 6.1 inch Crystal Series Magnetic Phone Case with High Light Transmittance,https://www.banggood.com/Baseus-Case-for-iPhone-14-6_1-inch-Crystal-Series-Magnetic-Phone-Case-with-High-Light-Transmittance-p-1991693.html?cur_warehouse=CN&rmmds=search,10.06,15.48,35,2,5.0,5.42,35.01,10.0
phones,Baseus BS-HP013 Portable Series Folding Phone Holder for iPhone 14 for Samsung for Xiaomi Huawei,https://www.banggood.com/Baseus-BS-HP013-Portable-Series-Folding-Phone-Holder-for-iPhone-14-for-Samsung-for-Xiaomi-Huawei-p-1992124.html?cur_warehouse=CN&rmmds=search,6.19,12.39,50,5,5.0,6.2,50.04,25.0
phones,Universal Bike Holder 360° Adjustable Shockproof Anti-fall Handlebar Holder Suit for 4.8-6.8 Inch Cell for Motorcycle Bicycle Scooter Bracket,https://www.banggood.com/Universal-Bike-Holder-360-Adjustable-Shockproof-Anti-fall-Handlebar-Holder-Suit-for-4_8-6_8-Inch-Cell-Phones-for-Motorcycle-Bicycle-Scooter-Bracket-p-1997435.html?cur_warehouse=CN&rmmds=search,10.06,13.15,24,10,4.7,3.09,23.5,47.0
phones,Parking Number Car Mobile Phone Holder Bracket Upgrade Multi-functional Vehicle With Navigation Rotating Car Dashboard Mobile Phone Bracket,https://www.banggood.com/Parking-Number-Car-Mobile-Phone-Holder-Bracket-Upgrade-Multi-functional-Vehicle-With-Navigation-Rotating-Car-Dashboard-Mobile-Phone-Bracket-p-1978414.html?cur_warehouse=CN&rmmds=search,7.73,30.96,75,20,4.8,23.23,75.03,96.0
phones,5.5 Inch Outdoor EDC Tactical Waist Bags Pack Men Cell Phone Case Wallet Pouch Holder For Sports Camping Hiking,https://www.banggood.com/5_5-Inch-Outdoor-EDC-Tactical-Waist-Bags-Pack-Men-Cell-Phone-Case-Wallet-Pouch-Holder-For-Sports-Camping-Hiking-p-1981492.html?cur_warehouse=CN&ID=6287839&rmmds=search,4.36,15.48,72,1557,4.92,11.120000000000001,71.83,7660.44
phones,Baseus Metal Era Go Gravity Car Phone Holder Air Vent Mount Bracket with Hook 360° Rotary Universal for 4.7-7.2inch Mobile Phone,https://www.banggood.com/Baseus-Metal-Era-Go-Gravity-Car-Phone-Holder-Air-Vent-Mount-Bracket-with-Hook-360-Rotary-Universal-for-4_7-7_2inch-Mobile-Phone-p-2025753.html?cur_warehouse=CN&ID=6287830&rmmds=search,12.38,23.22,47,5,4.6,10.839999999999998,46.68,23.0
phones,Mobile Phone Holder Navigation Specific Car Support Mount Multi Functional Advanced Anti Slip Car Dashboard Phone Stand,https://www.banggood.com/Mobile-Phone-Holder-Navigation-Specific-Car-Support-Mount-Multi-Functional-Advanced-Anti-Slip-Car-Dashboard-Phone-Stand-p-2039276.html?cur_warehouse=CN&ID=6287830&rmmds=search,10.83,14.98,28,0,0.0,4.15,27.7,0.0
